source_file,project_name,page,section_hint,category_rank_on_page,primary_category,keyword_score,matched_keywords,text_excerpt
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,2,619.99 ㎡,1,공사개요/총칙,4,공사개요; 공사명; 대지 위치; 공사 기간,1. 공 사 명 : 중앙대학교 다빈치캠퍼스 905관(자연공학관3관) 장애인용 승강기 설치공사
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,3,619.99 ㎡,1,토공사/기초,3,토공사; 기초; 기초공사,제 5 장 : 철 골 공 사 ・・・・・・・・・・・・・・・ 22
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,3,619.99 ㎡,2,철근콘크리트,2,철근; 콘크리트,제 5 장 : 철 골 공 사 ・・・・・・・・・・・・・・・ 22
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,3,619.99 ㎡,3,지붕/홈통/방수,2,지붕; 홈통,제 6 장 : 지붕 및 홈통공사 ・・・・・・・・・・・・・・・ 31
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,4,총 칙,1,공사개요/총칙,10,적용범위; 설계도서; 용어; 발주자; 수급인; 시공자; 담당원; 감리자; 적용규정; 법령,"바. ""지시""라 함은 발주자 측에서 발의하여 담당원이 시공자에 대하여 공사감독의 소관업무에 관한 방침 ․"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,4,총 칙,2,관리/행정/공정,6,공사관리; 하도급; 협의; 승인; 검사; 입회,"나. 시공자에 대한 담당원의 지시, 승인 및 협의 또는 검사는 모두 담당원의 권한과 책임으로 간주한"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,4,총 칙,3,안전/보건,3,안전; 보건; 산업안전보건,"나. 건축법, 건설기술진흥법, 건설산업기본법, 근로기준법, 산업안전보건법, 환경보전관계법, 산업표준화법, 기타"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,5,1. 1. 10 경미한 변경,1,공사개요/총칙,7,설계도서; 발주자; 시공자; 담당원; 감리자; 관련법규; 법령,가. 시공자는 계약서 및 설계도서 등에서 지정한 것과 담당원이 지시한 각종 보고를 지정한 기일 내에 지체없이
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,5,1. 1. 10 경미한 변경,2,관리/행정/공정,6,현장대리인; 공사관리; 협의; 보고; 제출; 승인,"배치된 현장대리인과 건설기술자는 담당원의 승인 없이 현장을 이탈하지 못하며, 공사관리 기타 기술상의"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,5,1. 1. 10 경미한 변경,3,가설공사/비계,1,가설,가. 설계도서에 지정이 있는 경우를 제외하고 가설․공법 등 공사를 완성함에 필요한 수단․방법에 대하여는
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,6,1. 2. 3 설계도서 등의 비치,1,관리/행정/공정,7,예정공정표; 공정표; 시공계획서; 협의; 보고; 제출; 승인,"응력계산서, 공사예정공정표, 시공계획서, 기상표 및 기타 필요한 도서류 등을 비치하여야 한"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,6,1. 2. 3 설계도서 등의 비치,2,공사개요/총칙,6,설계도서; 계약문서; 발주자; 시공자; 담당원; 법령,가. 시공자는 담당원의 승인을 받아 공사를 시행하기 위하여 직접 필요한 용지(用地)로서 발주자의 토지를
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,6,1. 2. 3 설계도서 등의 비치,3,가설공사/비계,6,가설; 현장사무소; 가설울타리; 비계; 발판; 공사용 도로,"가. 가설울타리 비계 및 발판, 공사현장사무소 현장창고, 가설설비 등 기타 공사용 가설시설물의 설치는 특기에"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,7,1. 2. 13 정리 정비 청소,1,관리/행정/공정,7,시공계획서; 협의; 보고; 제출; 승인; 검사; 입회,"배합을 정하여야 하는 재료는, 시공계획서와 함께 배합표를 담당원에게 제출하여 승인을 받는"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,7,1. 2. 13 정리 정비 청소,2,자재관리,7,재료; 반입; 보관; 견본; 배합; 불합격; 한국산업규격,"가. 시험 또는 검사 종료후, 합격한 반입재료는 소정의 장소에 정돈하여 적절한 보관을 한"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,7,1. 2. 13 정리 정비 청소,3,공사개요/총칙,4,설계도서; 시공자; 담당원; 법령,시공자는 건설공사로 인하여 발생하는 공해 및 민원에 대하여는 신속히 대처하여 공사완료전에 해결하여야
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,8,1. 3. 5 지급재료 및 대여품,1,관리/행정/공정,6,공정표; 시공계획서; 보고; 제출; 승인; 입회,"시공은 설계도서, 그리고 담당원의 승인을 받은 공정표 시공계획서 원척도 시공도 등에 따라 시행한"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,8,1. 3. 5 지급재료 및 대여품,2,공사개요/총칙,5,공사 기간; 설계도서; 발주자; 시공자; 담당원,"나. 시공자는 발주자가 설치한 측량말뚝을 이동 또는 손상시켜서는 안 되며, 만일 이동이 필요할 때에는 담당원의"
